Q 0.1,Q 0.2,Q 0.3,Q 0.4,Q 0.5,Q 0.6,Q 0.7,Q 0.8,Q 0.8_1_TEXT,Q 0.8_2_TEXT,Q 0.9,Q 1.1,Q 1.1_1_TEXT,Q 1.1_2_TEXT,Q 1.1_3_TEXT,Q 1.1_4_TEXT,Q 1.2,Q 1.3,Q 1.4,Q 1.5,Q 1.6,Q 1.7,Q 2.1,Q 2.1_5_TEXT,Q 2.2,Q 2.2_8_TEXT,Q 2.3,Q 2.4,Q 2.4_12_TEXT,Q 2.5,Q 2.6,Q 2.6_3_TEXT,Q 3.1,Q 3.2,Q 3.3,Q 3.3_10_TEXT,Q 3.4,Q 3.4_6_TEXT,Q 3.5_1,Q 3.5_2,Q 3.5_3,Q 3.5_4,Q 3.5_5,Q 3.5_6,,,,,,,,,,,,,,,Q 3.5_7,Q 3.5_8,Q 3.5_9,Q 3.5_10,Q 3.6,Q 3.7,Q 3.8_1,Q 3.8_2,Q 3.8_3,Q 3.8_4,Q 3.8_5,Q 3.8_6,Q 3.8_6_TEXT,Q 3.9,Q 3.9_12_TEXT,Q 3.10,Q 3.11_1,Q 3.11_2,Q 3.12,Q 3.13,Q 3.13_6_TEXT,Q 3.14_4,Q 3.15,Q 3.16#1_1,Q 3.16#1_2,Q 3.16#1_3,Q 3.16#1_4,Q 3.16#1_5,Q 3.16#1_6,Q 3.16#1_7,Q 3.16#2_1,Q 3.16#2_2,Q 3.16#2_3,Q 3.16#2_4,Q 3.16#2_5,Q 3.16#2_6,Q 3.16#2_7,Q 3.16#3_1_1,Q 3.16#3_2_1,Q 3.16#3_3_1,Q 3.16#3_4_1,Q 3.16#3_5_1,Q 3.16#3_6_1,Q 3.16#3_7_1,Q 3.17,Q 3.17_10_TEXT,Q 3.18,Q 3.19,Q 3.19_7_TEXT
Does one of these activities describe your primary activity? (THE REPLY IS COMPULSORY),What is the level of service provided by the venue? Please select the appropriate category:,Are you,"How many rooms do you have? (for  5-star, 4-star, 3-star, 2-star, or 1-star hotel)",How many rooms do you have? (for guest house),Does your venue offer the following? (for guest house),Where is your venue located?,On an average day when does the venue open and close? - Selected Choice,On an average day when does the venue open and close? - Opening time - Text,On an average day when does the venue open and close? - Closing time - Text,Are you currently licensed for public music use through ARTISJUS?,"What is the capacity of your business? Please, choose the most relevant measure for your business: - Selected Choice","What is the capacity of your business? Please, choose the most relevant measure for your business: - Maximum capacity in number of persons - Text","What is the capacity of your business? Please, choose the most relevant measure for your business: - Number of tables - Text","What is the capacity of your business? Please, choose the most relevant measure for your business: - Number of rooms - Text","What is the capacity of your business? Please, choose the most relevant measure for your business: - Squared meters - Text",In what year was your business established?,What is the size of your business in terms of full-time employees?,Is your business family-run?,Is the annual turnover of your venue approximately,What are your business’s usual opening days? (Select all that apply),Do you play background music in your establishment?,How do you obtain your background music? - Selected Choice,How do you obtain your background music? - Other (please specify) - Text,What type of equipment does your venue use to play background music? (Select all that apply) - Selected Choice,"What type of equipment does your venue use to play background music? (Select all that apply) - Other, please specify: - Text",How many days per month do you typically play background music?,What genres of music do you have played in your establishment?  (select up to 4 genres) - Selected Choice,What genres of music do you have played in your establishment?  (select up to 4 genres) - Other (please specify) - Text,Do you consider the music played in your establishment is a distinctive feature of your venue?,How is the music played in your establishment selected? - Selected Choice,How is the music played in your establishment selected? - A mix of both - Text,Do you organize live music events at your venue?,What type of equipment does your venue have available for live music performances? (Select all that apply),What is the typical capacity of your venue during live music performances? - Selected Choice,What is the typical capacity of your venue during live music performances? - Over 200 people (please specify) - Text,What types of live music performances has your establishment hosted in the past 12 months? - Selected Choice,What types of live music performances has your establishment hosted in the past 12 months? - Other (please specify) - Text,How frequently have these performances taken place at your establishment in the past 12 months? - Every day,How frequently have these performances taken place at your establishment in the past 12 months? - 5-6 times a week,How frequently have these performances taken place at your establishment in the past 12 months? - 3-4 times a week,How frequently have these performances taken place at your establishment in the past 12 months? - 1-2 times a week,How frequently have these performances taken place at your establishment in the past 12 months? - 3-4 times a month,How frequently have these performances taken place at your establishment in the past 12 months? - 1-2 times a month,,,,,,,,,,,,,,,How frequently have these performances taken place at your establishment in the past 12 months? - 3-4 times a year,How frequently have these performances taken place at your establishment in the past 12 months? - 1-2 times a year,How frequently have these performances taken place at your establishment in the past 12 months? - Hardly ever,How frequently have these performances taken place at your establishment in the past 12 months? - I don’t know,"Over the past year, has the number of live music performances in your venue:",By how much has the number of live music performances in your venue increased/decreased:,"In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - number of patrons","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - cost of compliance with planning regulations","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - cost of compliance with liquor licensing conditions","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - staff costs","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - noise complaints by local residents","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - other (specify)","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - other (specify) - Text",What genres of music have you played live in your establishment in the past 12 months?  (select up to 4 genres) - Selected Choice,What genres of music have you played live in your establishment in the past 12 months?  (select up to 4 genres) - Other (please specify) - Text,"Are live music events at your venue free for customers, do you charge an entry fee, or do you accept donations?",What are the minimum and maximum ticket prices for live performances at your establishment? - Minimum price (HUF):,What are the minimum and maximum ticket prices for live performances at your establishment? - Maximum price (HUF):,Do you generate revenue from hosting live music events at your establishment?,What are the main sources of revenue from live music events at your venue? - Selected Choice,What are the main sources of revenue from live music events at your venue? - other (specify) - Text,What percentage of your revenues has come from live music events in the past 12 months? - Click to write the number,How does your revenue change when there is live music compared to non-live music nights?,"For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Monday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Tuesday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Wednesday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Thursday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Friday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Saturday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Sunday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Monday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Tuesday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Wednesday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Thursday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Friday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Saturday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Sunday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Monday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Tuesday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Wednesday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Thursday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Friday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Saturday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Sunday - %",What motivates you to organize live music events at your venue? - Selected Choice,What motivates you to organize live music events at your venue? - Other (specify) - Text,Have you observed an increase in new customers on live music nights?,What are the biggest challenges of hosting live music at your venue? (Select all that apply) - Selected Choice,What are the biggest challenges of hosting live music at your venue? (Select all that apply) - Other (please specify) - Text
"{""ImportId"":""QID3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID41""}","{""ImportId"":""QID36""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_1_TEXT""}","{""ImportId"":""QID39_2_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_1_TEXT""}","{""ImportId"":""QID42_2_TEXT""}","{""ImportId"":""QID42_3_TEXT""}","{""ImportId"":""QID42_4_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID43""}","{""ImportId"":""QID8""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_8_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_12_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_3_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_10_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_6_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}",,,,,,,,,,,,,,,"{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_10""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID19_6_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_12_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_6_TEXT""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28#1_1""}","{""ImportId"":""QID28#1_2""}","{""ImportId"":""QID28#1_3""}","{""ImportId"":""QID28#1_4""}","{""ImportId"":""QID28#1_5""}","{""ImportId"":""QID28#1_6""}","{""ImportId"":""QID28#1_7""}","{""ImportId"":""QID28#2_1""}","{""ImportId"":""QID28#2_2""}","{""ImportId"":""QID28#2_3""}","{""ImportId"":""QID28#2_4""}","{""ImportId"":""QID28#2_5""}","{""ImportId"":""QID28#2_6""}","{""ImportId"":""QID28#2_7""}","{""ImportId"":""QID28#3_1_1""}","{""ImportId"":""QID28#3_2_1""}","{""ImportId"":""QID28#3_3_1""}","{""ImportId"":""QID28#3_4_1""}","{""ImportId"":""QID28#3_5_1""}","{""ImportId"":""QID28#3_6_1""}","{""ImportId"":""QID28#3_7_1""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_10_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_7_TEXT""}"
Hotels and similar accommodation,Category 2: Catering establishments offering services equivalent to 3 star establishments,"5-star, 4-star, 3-star, 2-star, or 1-star hotel",up to 25 rooms,,,"City with population over 50,000","Opening time,Closing time",07:00,10:00,Yes,Number of rooms,,,10,,20,2 persons,Yes,"19,000,000 Ft – 57,000,000 Ft","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Yes,"Streaming services (e.g., Spotify, Apple Music, etc.)",,"Built-in sound system (e.g., ceiling speakers, amplifiers)",,Every day I am open,R&B,,No,Randomly selected or played by chance,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bars, pubs, and cocktail lounges","Category 6: Drink bars, pubs, taverns, buffets and other venues that do not meet the standards of Category 5 establishments",,,,,"Small town (5,001–10,000)","Opening time,Closing time",5.3,22,Yes,Number of tables,,8,,,30,10-20 persons,No,"1,900,000 Ft – 7,600,000 Ft","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",No,,,,,,,,,,,Yes,Microphones (wired or wireless),Up to 50 people,,Bands,,Other,Other,Other,Other,Other,Other,,,,,,,,,,,,,,,Other,Other,Bands,Other,decreased,other,1,2,3,4,5,6,igény hiány,Country,,Free,,,,increased food and beverage sales,,0,increases significantly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,0,0,0,0,0,0,0,,,No noticeable impact,Difficulty attracting audiences,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spa and wellness retreat services,Category 1: Catering establishments offering services equivalent to 4 and 5 star establishments,"5-star, 4-star, 3-star, 2-star, or 1-star hotel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,"Category 5: Restaurants, pubs, wine bars, lounge bars, espresso bars, cafes, coffee houses, tea houses, patisseries, food and salad bars and other catering establishments whose appearance and services exceed the standard of a typical 3 star establishment",,,,,Budapest,"Opening time,Closing time",18,23,Yes,Number of tables,,19,,,50,10-20 persons,No,"190,000 Ft – 380,000 Ft","Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Yes,"Streaming services (e.g., Spotify, Apple Music, etc.)",,"Built-in sound system (e.g., ceiling speakers, amplifiers)",,Every day I am open,"Pop,Jazz",,No,A mix of both,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
